Entity ID,Entity Name,Name Type,Entity Type,Principal Office Address,RA Name,Status
S0509804,"Boxwood Inn of Williamsburg, LLC",Legal Name,Limited Liability Company,"12245 FAIRFIELD HOUSE DR, FAIRFAX, VA, 22033 - 0000, USA",SANDRA M   ZARESKI ,Inactive,
S2268466,"Boxwood Properties, L.L.C.",Legal Name,Limited Liability Company,"154 ALWOODLEY, WILLIAMSBURG, VA, 23188 - 0000, USA",SUSANNA B   HICKMAN ,Inactive,
11245510,Boxwood Strategies Ltd.,Legal Name,Stock Corporation,"3116 Nathaniels Grn, WILLIAMSBURG, VA, 23185 - 7525, USA",Diane  T. Sadler ,Active,
11664853,BPBP Holdings LLC,Legal Name,Limited Liability Company,"113 Rudder Ct, Williamsburg, VA, 23185 - 5288, USA",Brent Christian Peterson ,Active,
S4424943,"bplan Consulting, LLC",Legal Name,Limited Liability Company,"173 Exmoor Court, Williamsburg, VA, 23185 - 0000, USA",ROBERT A.   LEGERE ,Inactive,
S6297156,BPM Baseball Camps LLC,Legal Name,Limited Liability Company,"106 Mill Neck Rd, Williamsburg, VA, 23185 - 0000, USA",RANDALL S   HAWTHORNE ,Inactive,
S0067282,"BPS ASSOCIATES, L.C.",Legal Name,Limited Liability Company,"GILBERT A BARTLETT PC, 809 RICHMOND RD, WILLIAMSBURG, VA, 23185, USA",GILBERT A   BARTLETT ,Inactive,
11448954,Bradford Rental LLC,Legal Name,Limited Liability Company,"9447 Lewisdale Pl, Mechanicsville, VA, 23116 - 2957, USA",Susanna B. Hickman ,Active,
11659300,Bradys Buds and Blooms LLC,Legal Name,Limited Liability Company,"1196 Richwine Dr, Williamsburg, VA, 23185 - 5754, USA",Kathleen   Brady ,Pending Inactive,
S5514106,Brail Books LC,Legal Name,Limited Liability Company,"2925 Kitchums Pond Road, Williamsburg, VA, 23185 - 0000, USA",DONN THOMAS   WONNELL ,Inactive,
S3885615,Brain Fuse Records LLC,Legal Name,Limited Liability Company,"202 Packets Ct, Suite A, Williamsburg, VA, 23185 - 0000, USA",STEP 3 ENTERTAINMENT LLC,Inactive,
11702283,Branch Beyond ABA Consulting and Services LLC,Legal Name,Limited Liability Company,"7 Forest Hill Dr, Williamsburg, VA, 23185, USA",Marneicia Diane Branch ,Active,
11152001,Brand Olde LLC,Legal Name,Limited Liability Company,"23 Ensign Spence, Williamsburg, VA, 23185, USA",Thomas R Sopko ,Active,
S7906169,Brand-it Global LLC,Legal Name,Limited Liability Company,"5125 ROLLING REACH, WILLIAMSBURG, VA, 23185 - 0000, USA",KAREN K   ALRIHAWI ,Inactive,
04838983,"BRANDIE'S CANDIES, INC.",Legal Name,Stock Corporation,"5715-57 RICHMOND ROAD, WILLIAMSBURG, VA, 23188 - 0000, USA",JAMES J   KNICELY ,Inactive,
01766260,"BRANDY, LTD.",Legal Name,Stock Corporation,"1005 RICHMOND RD, WILLIAMSBURG, VA, 23185 - 0000, USA",ANN H.   GRANGER ,Active,
S0640369,"Branscome Holdings, LLC",Legal Name,Limited Liability Company,"2513 MANION DR, WILLIAMSBURG, VA, 23185 - 0000, USA",LAVELLE M   BRANSCOME ,Inactive,
S0632002,"Branscome Investment Property, LLC",Legal Name,Limited Liability Company,"2513 MANION DRIVE, WILLIAMSBURG, VA, 23185 - 0000, USA",LAVELLE M   BRANSCOME ,Inactive,
S0631947,"Branscome Office Property, LLC",Legal Name,Limited Liability Company,"2513 MANION DRIVE, WILLIAMSBURG, VA, 23185 - 0000, USA",LAVELLE M   BRANSCOME ,Active,
01113554,"BRANSCOME, INC., HENRY S.",Legal Name,Stock Corporation,,JOSEPH A.   ABDELNOUR ,Inactive,
07080252,"Braunbeck, Inc.",Legal Name,Stock Corporation,"2111 E PEMBROKE AVENUE, APT 4-B, HAMPTON, VA, 23664 - 0000, USA",HELENA S   MOCK ,Inactive,
11590127,Bray Knicely Law PLLC,Legal Name,Limited Liability Company,"487 McLaws Cir Ste 2, Williamsburg, VA, 23185 - 5672, USA",James J. Knicely ,Active,
11205444,Bray Law PLLC,Legal Name,Limited Liability Company,"485 McLaws Cir, Williamsburg, VA, 23185 - 5645, USA",William  P. Bray ,Active,
11148094,"Bray Title, LLC",Legal Name,Limited Liability Company,"102 Links of Leith, Williamsburg, VA, 23188, USA",Bray Knicely Law PLLC,Active,
S0626913,"BRC COMPANY, L.L.C.",Legal Name,Limited Liability Company,"9132 Stump Point Rd, Hayes, VA, 23072 - 4603, USA","DAVID W. OTEY, JR., PLC",Active,
S5943750,"Breakout 757, LLC",Legal Name,Limited Liability Company,"1215 MOUNT VERNON AVENUE, SUITE E, WILLIAMSBURG, VA, VA, 23185 - 0000, USA",MICHAEL   PREZIOSO ,Inactive,
11227870,Breakwater USA Corporation,Legal Name,Stock Corporation,"1490-5A Quarterpath Rd No 138, Williamsburg, VA, 23185 - 6544, USA",SHANNON C MCCALL-BARON ,Active,
S7191242,Breathing Daily Yogis LLC,Legal Name,Limited Liability Company,"2133 S. HENRY STREET, UNIT #2, WILLIAMSBURG, VA, 23185 - 0000, USA",ALAN HOWARD   ELAM ,Inactive,
07973332,"Breathing Space, Inc.",Legal Name,Nonstock Corporation,"BREATHING SPACE, INC. C/O LECLAIRRYAN, 5425 DISCOVERY PARK BLVD., SUITE 200, WILLIAMSBURG, VA, 23188 - 0000, USA",ELIZABETH L   WHITE ,Inactive,
S7900311,"Breezeland, LLC",Legal Name,Limited Liability Company,"960 TURNERS LANDING RD, LANEXA, VA, 23089 - 0000, USA",VERNON M  GEDDY III ,Active,
11218948,Brenay's HomeCare LLC,Legal Name,Limited Liability Company,"230 new hope rd, Williamsburg, VA, 23185, USA",Sylena Bree Coleman ,Inactive,
11391221,Brencat and Associates LLC,Legal Name,Limited Liability Company,"105 Canham Rd, Williamsburg, VA, 23185, USA",Paul F Catucci ,Inactive,
S0820029,"Brennan Real Estate, LLC",Legal Name,Limited Liability Company,"256 WILLIAM SPENCER, WILLIAMSBURG, VA, 23185 - 0000, USA",JEFFREY D   BRENNAN ,Inactive,
05002878,"BRENTWOOD DEVELOPMENT, INC.",Legal Name,Stock Corporation,"6425 Conservancy, Williamsburg, VA, 23185 - 8068, USA",REX E   SWETNAM ,Pending Inactive,
04816500,BRENTWOOD INVESTMENT COMPANY,Legal Name,Stock Corporation,"1323 JAMESTOWN ROAD #101, WILLIAMSBURG, VA, 23185 - 0000, USA",ROBERT G   BECK ,Inactive,
S7941752,"Brewer's Station, LLC",Legal Name,Limited Liability Company,"221 McLaws Cir, Williamsburg, VA, 23185 - 5649, USA",MASON ANDREW   NORSWORTHY ,Active,
S1510793,"BREWERS, LLC",Legal Name,Limited Liability Company,"310 ED WRIGHT LANE, STE B, NEWPORT NEWS, VA, 23606 - 0000, USA",MATTHEW WESTCOTT   SMITH ,Active,
11641146,Brews for the Brave LLC,Legal Name,Limited Liability Company,"921 Foley Dr, Williamsburg, VA, 23185, USA",Thomas Lee Parks ,Pending Inactive,
07380249,"BRG STRATEGY GROUP, INC.",Legal Name,Stock Corporation,"327 MCLAWS CIRCLE, STE 3, WILLIAMSBURG, VA, 23185 - 0000, USA",BENJAMIN R   GRIMES ,Inactive,
04759304,"BRIAN K. DEIBLER AGENCY, INC.",Legal Name,Stock Corporation,"435 BRIDGE ST, HAMPTON, VA, 23669 - 0000, USA",ROBERT M   PFEIFER ,Inactive,
06181713,"Brian Kalbas Tennis Camps, Inc.",Legal Name,Stock Corporation,"809 HIGHGROVE DRIVE, CHAPEL HILL, NC, 27516 - 0000, USA",RANDALL S   HAWTHORNE ,Inactive,
S5880408,"BRIAN SHORTESS ENTERPRISES, LLC",Legal Name,Limited Liability Company,"11315 Fawn Lake Pkwy, Spotsylvania, VA, 22551 - 4665, USA",JEREMY C.   JOHNSON ,Inactive,
S6767588,Brian Waltrip Hauling LLC,Legal Name,Limited Liability Company,"2882 Lake Powell Rd, Williamsburg, VA, 23185 - 0000, USA",BRIAN CLAY   WALTRIP ,Active,
11794490,Bricks & Beyond Masonry and Concrete LLC,Legal Name,Limited Liability Company,"1165 Richwine Dr, Williamsburg, VA, 23185, USA",James  Vaught Jr.,Active,
11410341,"BRIDGE GREAT CBB, LLC",Legal Name,Limited Liability Company,"5606 Lamm Rd, Wilson, NC, 27896 - 8013, USA",Scott   Tobin ,Active,
07059744,"Bridge Wealth Advisors, Inc.",Legal Name,Stock Corporation,"402 Rivers Bend Cir, Chester, VA, 23836 - 8601, USA",Susanna B. Hickman ,Active,
S6136602,"Bridget Rena, LLC",Legal Name,Limited Liability Company,"356 McLaws Circle, Suite 2, Williamsburg, VA, 23185 - 0000, USA",BRIDGET RENA   PLIFKA ,Inactive,
S5286416,"Bridget Rena, LLC",Legal Name,Limited Liability Company,"502 Strawberry Plains Road, Suite D1, WILLIAMSBURG, VA, 23185 - 0000, USA",BRIDGET RENA   PLIFKA ,Inactive,
11243921,"Bridging the Gap Counseling Services, LLC",Legal Name,Limited Liability Company,"202 Packets Ct Ste A, Williamsburg, VA, 23185, USA",Diane J Green ,Active,
S2459172,Briemar Associates LLC,Legal Name,Limited Liability Company,"100 ARDEN DR, WILLIAMSURG, VA, 23185 - 0000, USA",MARTIN   PORUSH ,Inactive,
04956462,"Brigham, Calhoun, Whitson & Associates, PC",Legal Name,Stock Corporation,"161 John Jefferson Rd Ste B, WILLIAMSBURG, VA, 23185 - 6455, USA",CLIFTON   BRIGHAM ,Active,
11461566,"Bright Light Productions, LLC",Legal Name,Limited Liability Company,"2840 Jonas Profit Trl, Williamsburg, VA, 23185, USA",Susan A Woloszyn ,Active,
S7608369,Bright Side Electric L.L.C.,Legal Name,Limited Liability Company,"121 Tarleton Bivouac, WILLIAMSBURG, VA, 23185 - 0000, USA",Loren Bjorn Friedrich ,Active,
S8494629,"BRILEY ENTERPRISES, LLC",Legal Name,Limited Liability Company,"13334 Lawnes Court, Smithfield, VA, 23430 - 0000, USA",DANIEL   GASINK ,Active,
11052833,Brink Ambler Baseball LLC,Legal Name,Limited Liability Company,"104 Druid Dr, Williamsburg, VA, 23185 - 3211, USA",Brink  Ambler ,Inactive,
05209317,"BRISTOL COMMONS OWNERS ASSOCIATION, INC.",Legal Name,Nonstock Corporation,"3901 Westerre Pkwy Ste 100, Henrico, VA, 23233 - 1341, USA",ANDREW M   FRANCK ,Active,
S1004532,"Britt's Corner Holdings, LLC",Legal Name,Limited Liability Company,"316 INDIAN SPRINGS ROAD, WILLIAMSBURG, VA, 23185 - 0000, USA",CHANNING M  HALL III ,Active,
S2685610,"Brittain Contracting, LLC",Legal Name,Limited Liability Company,"312 THE MAINE WEST, WILLIAMSBURG, VA, 23185 - 0000, USA",Paul   Brittain ,Active,
S4874865,Broc-Oh!-Lee Organix LLC,Legal Name,Limited Liability Company,"238 Neck O Land Rd., Williamsburg, VA, 23185 - 0000, USA",BROCK ANTHONY   ALLOR ,Inactive,
11099126,Broken Name Games LLC,Legal Name,Limited Liability Company,"105 Shore Dr, Williamsburg, VA, 23185 - 3821, USA",Alexander Joel Goldberg ,Inactive,
S8190870,BrookeBriannaStephanie LLC,Legal Name,Limited Liability Company,"28 Hampton Key, Williamsburg, VA, 23185 - 0000, USA",STEPHANIE SANDERS   PECK ,Active,
S2978882,"Brooklyn Air Park, LLC",Legal Name,Limited Liability Company,"121 PINE POINT RD, WILLIAMSBURG, VA, 23185 - 0000, USA",JOHN E  ROUZIE JR ,Active,
01035781,"BROOKS AGENCY, INC.",Legal Name,Stock Corporation,"110 WESTOVER AVE, WILLIAMSBURG, VA, 23185 - 0000, USA","G. TYLER  BROOKS, III ",Inactive,
08384091,Brookstone Capital Corporation,Legal Name,Stock Corporation,"1 SHORE LANE, SUITE 615, JERSEY CITY, NJ, 07310 - 0000, USA","MTI, INC.",Inactive,
S7384664,Brothers of the Spade Gardening LLC,Legal Name,Limited Liability Company,"8716 Pocahontas Trail, Williamsburg, VA, 23185 - 0000, USA",CAMERON SCOTT   GREEN ,Inactive,
11618979,"Brothers-In-Arms Motorcycle Club, Yorktown Chapter",Legal Name,Nonstock Corporation,"1418 Government Rd, Williamsburg, VA, 23185, USA",Kevin Lee Poole ,Active,
11482064,BrowhemianInc LLC,Legal Name,Limited Liability Company,"116 chanticleer ct, Williamsburg, VA, 23185, USA",Brittany Anne Hughes ,Inactive,
S4653236,"Brown Dog Industries, LLC",Legal Name,Limited Liability Company,"26 Elm Avenue, Newport News, VA, 23601 - 0000, USA","JEREMY C.  JOHNSON, ESQ. ",Active,
S6261053,"Brown Mouse Productions, LLC",Legal Name,Limited Liability Company,"205 Tyler Brooks Dr, Williamsburg, VA, 23185 - 0000, USA",JESSICA LAUREN   BROWN ,Inactive,
S4254753,Brown Oak 94 LLC,Legal Name,Limited Liability Company,"5602 BOATWRIGHT CIRC, WILLIAMSBURG, VA, 23185 - 3799, USA",HOWARD R.   BROWN ,Inactive,
11611799,"Brown Sure, LLC",Legal Name,Limited Liability Company,"1320 Richmond Rd #1032, WILLIAMSBURG, VA, 23185, USA",Matthew D Brown ,Active,
11300995,Browns Transportation & Services LLC,Legal Name,Limited Liability Company,"108 Bluffs Circle, WILLIAMSBURG, VA, 23185, USA",Gwendolyn  Brown ,Inactive,
S4084432,Browyn Ausborn LLC,Legal Name,Limited Liability Company,"511 York Street, Williamsburg, VA, 23185 - 0000, USA",BROWYN C.E.   AUSBORN ,Inactive,
S1722240,"BRS HOLDINGS, L.L.C.",Legal Name,Limited Liability Company,"8105 RICHMOND RD STE 202, TOANO, VA, 23168 - 0000, USA",S M   FRANCK ,Inactive,
S6697777,"Bruce Reynolds Consulting, LLC",Legal Name,Limited Liability Company,"6804 Hampshire Road, McLean, VA, 22101 - 0000, USA",Bruce W. Reynolds ,Inactive,
S5930344,"Brummett Holdings, LLC",Legal Name,Limited Liability Company,"2720 Jockeys Neck Trail, Williamsburg, VA, 23185 - 0000, USA",THOMAS M   LUEKER ,Inactive,
11251181,Brush Bros LLC,Legal Name,Limited Liability Company,"59 Jan Rae Cir, Williamsburg, VA, 23185, USA","COMMONWEALTH INSURANCE AGENCIES GROUP, INC.",Inactive,
11049044,Brushing With Flying Colors LLC,Legal Name,Limited Liability Company,"102 Emma Rose Ct, Williamsburg, VA, 23185, USA",Linia  Willis ,Active,
04885794,BRUTON GLEN HOMEOWNER'S ASSOCIATION,Legal Name,Nonstock Corporation,"ATTN: BOARD OF DIRECTORS, PO BOX 5546, WILLIAMSBURG, VA, 23188 - 0000, USA",RON S   QUESENBERRY ,Inactive,
06154926,"BRYAN D. BAILEY, INC.",Legal Name,Stock Corporation,"9038 Diascund Rd, Lanexa, VA, 23089 - 0000, USA",BRYAN D   BAILEY ,Inactive,
S5883626,Bryant Electronics LLC,Legal Name,Limited Liability Company,"1406 Richmond Road, Apt 302, Williamsburg, VA, 23185 - 0000, USA",JAMES RICHARD   BRYANT ,Inactive,
S2669911,"Bryant's Lawn Care, LLC",Legal Name,Limited Liability Company,"15631 MOKETE TRAIL, SMITHFIELD, VA, 23430 - 0000, USA",JEREMY C   JOHNSON ,Inactive,
S5065497,"Bryhn Investment Group, L.L.C.",Legal Name,Limited Liability Company,"927 CAPITOL LANDING RD, WILLIAMSBURG, VA, 23185 - 0000, USA",DAVID   BRYHN ,Inactive,
S3547942,"BS&BS, LLC",Legal Name,Limited Liability Company,"43 MILE COURSE, WILLIAMSBURG, VA, 23185 - 0000, USA",BRENT SEGELEON   OD ,Inactive,
11613091,BSE Performance Coaching LLC,Legal Name,Limited Liability Company,"713 Adams Rd, Williamsburg, VA, 23185 - 5201, USA",Brandon J Brown ,Inactive,
F1896887,"BSM CONSULTING, INC.",Legal Name,Stock Corporation,"12236 HAYDON PLACE, MIDLOTHIAN, VA, 23113 - 0000, USA",ELIZABETH K   MILESKI ,Inactive,
S3231158,"BT Enterprises, LLC",Legal Name,Limited Liability Company,"11322 MAGNOLIA PLACE, SMITHFIELD, VA, 23430 - 0000, USA",JEREMY C   JOHNSON ,Inactive,
S4255321,BTHM Inc. LLC,Legal Name,Limited Liability Company,"1704 SKIFFES CREEK CIR, WILLIAMSBURG, VA, 23185 - 0000, USA",TIMOTHY B   MASON ,Inactive,
S6068136,BTVT LLC,Legal Name,Limited Liability Company,"1328 S MT. VERNON AVE, APT. A, WILLIAMSBURG, VA, 23185 - 0000, USA",VICTOR   TORRES ,Pending Inactive,
11088456,Bubble Shine Express LLC,Legal Name,Limited Liability Company,"14 Bassett St, Williamsburg, VA, 23185, USA",Fernando  Vazquez ,Inactive,
S5313822,Buchman Industries LLC,Legal Name,Limited Liability Company,"165 Braddock Road, Williamsburg, VA, 23185 - 0000, USA",CORY ERRON   BUCHMAN ,Inactive,
11172622,"Buckets Car Wash, Inc.",Legal Name,Stock Corporation,"6950 Richmond Rd, Williamsburg, VA, 23188 - 7211, USA",Matthew  Westcott  Smith  ,Active,
11157740,"Buckeye Beach Bullies, LLC",Legal Name,Limited Liability Company,"3104 Barbour Dr, Virginia Beach, VA, 23456 - 7900, USA","Darley R. Twiddy, PLC",Active,
S0511891,"BUCKINGHAM PLACE, L.L.C.",Legal Name,Limited Liability Company,"502 River Blfs, WILLIAMSBURG, VA, 23185 - 8941, USA",Susanna B. Hickman ,Active,
S4348266,"Buckroe Avenue, LLC",Legal Name,Limited Liability Company,"1155 Professional Dr, Williamsburg, VA, 23185 - 0000, USA",SARA   BOURAEE ,Active,
S2174847,"Bucktrout of Williamsburg Funeral Home, L.L.C.",Legal Name,Limited Liability Company,"4124 IRONBOUND RD, WILLIAMSBURG, VA, 23188 - 0000, USA",STUART D   SPIRN ,Inactive,
00690354,BUCKTROUT-BRAITHWAITE MEMORIAL FOUNDATION,Legal Name,Nonstock Corporation,"10 SIDEWINDER CT, WILLIAMSBURG, VA, 23185 - 0000, USA",HEATHER   GARDNER ,Active,
11231997,"BudaBern, LLC",Legal Name,Limited Liability Company,"806 Myrtles Way, Perkasie, PA, 18944, USA",Vernon M. Geddy III,Active,
03944311,BUDGET GLASS CO.,Legal Name,Stock Corporation,"5609 Hull Street Rd, Richmond, VA, 23224 - 2859, USA",MATTHEW WESTCOTT SMITH ,Active,
04646790,"Buffalo Boyz, Inc.",Legal Name,Nonstock Corporation,"P O BOX 1552, WILLIAMSBURG, VA, 23185 - 0000, USA",TERNON GALLOWY   LEE ,Active,
01488394,"BUGS, LTD.",Legal Name,Stock Corporation,"108 TEWNING RD, WILLIAMSBURG, VA, 23188 - 0000, USA",J. STEPHEN  ROBERTS SR. ,Active,
11669728,Build The Burg LLC,Legal Name,Limited Liability Company,"123 Braddock Rd, Williamsburg, VA, 23185 - 3203, USA",Joseph   P Veltre ,Pending Inactive,
11636400,Build the world better LLC,Legal Name,Limited Liability Company,"11977 home guard dr, Woodbridge, VA, 22192, USA",Jason   Hayes ,Pending Inactive,
S3298918,"BUILDN, LLC",Legal Name,Limited Liability Company,"407 CONCORD DR, HAMPTON, VA, 23666 - 0000, USA",William P. Bray ,Active,
11659592,Built to Move Fitness LLC,Legal Name,Limited Liability Company,"108 Westover Ave, Williamsburg, VA, 23185 - 2914, USA",Chloe  Gassan ,Active,
S6428496,"Bull Properties, LLC",Legal Name,Limited Liability Company,"32 YEARDLEYS GRANT, WILLIAMSBURG, VA, 23185 - 0000, USA",ANNE HOLLIDAY COMPTON   SHIELDS ,Active,
03084597,"BULLSEYE ASSET MANAGEMENT & LEASING, INC.",Legal Name,Stock Corporation,"1820 CYPRESS ISLE, WILLIAMSBURG, VA, 23185 - 0000, USA",WILLIAM S   MOORE ,Inactive,
S7290630,"Bulwell Holdings, LLC",Legal Name,Limited Liability Company,"402 Tam-O-Shanter Blvd, Williamsburg, VA, 23185 - 0000, USA",GREG ALAN   PIEPER ,Inactive,
11010888,Bundle LLC,Legal Name,Limited Liability Company,"3730 Freehill Ln, Fairfax, VA, 22033, USA",Jesse  Wang ,Inactive,
S1012543,"BURDEN'S BEACH HOUSE, L.L.C.",Legal Name,Limited Liability Company,"481 MCLAWS CIR, WILLIAMSBURG, VA, 23185 - 0000, USA",JAMES   BURDEN ,Inactive,
S1728304,"BURDEN'S OFFICE, L.L.C.",Legal Name,Limited Liability Company,"481 MCLAWS CIRCLE, WILLIAMSBURG, VA, 23185 - 0000, USA",JAMES   BURDEN ,Active,
11598665,Burg360booth LLC,Legal Name,Limited Liability Company,"129 Sheppard Dr, Williamsburg, VA, 23185 - 5431, USA",Marcin  Lada ,Active,
S5704384,"Burkett and Associates, LLC",Legal Name,Limited Liability Company,"100 Boca Raton Circle, Williamsburg, VA, 23185 - 0000, USA",BRANDY NICOLE   BURKETT ,Active,
S1664780,"Burlington Farms, LLC",Legal Name,Limited Liability Company,"13500 JOHN TYLER HWY, CHARLES CITY, VA, 23030 - 0000, USA",CHANNING M  HALL III ,Inactive,
04835195,BURNLEY & TROWBRIDGE COMPANY,Legal Name,Stock Corporation,"144J Tewning Rd, Williamsburg, VA, 23188 - 2640, USA",ANGELA T   BURNLEY ,Active,
11385398,"Burns Lane, LLC",Legal Name,Limited Liability Company,"332 Burns Ln, Williamsburg, VA, 23185 - 3909, USA",David W. Otey Jr.,Active,
11538180,Burns Profits Plus LLC,Legal Name,Limited Liability Company,"1490 Quarterpath Rd PMB 252, Williamsburg, VA, 23185 - 6544, USA",Amy  Grover ,Active,
11002829,"Burrett Development Company, LLC",Legal Name,Limited Liability Company,"104 Governors Dr, Williamsburg, VA, 23185 - 3436, USA",Henry  Stephens ,Active,
11503670,"Bury Boys Travelers, LLC",Legal Name,Limited Liability Company,"105 Hillside Ln, Williamsburg, VA, 23185 - 5494, USA",Chantz  Bury ,Active,
S8654677,Bury Premier Nurse Practitioner LLC,Legal Name,Limited Liability Company,"105 Hillside Lane, Williamsburg, VA, 23185 - 0000, USA",CHANTZ   BURY ,Inactive,
07413941,BUSCH INDUSTRIAL PARK-WILLIAMSBURG ASSOCIATION,Legal Name,Nonstock Corporation,"301 Bendix Rd Ste 300, VIRGINIA BEACH, VA, 23452 - 1385, USA",SHELDON M   FRANCK ,Active,
06579106,"BUSINESS ACCOUNTING MEASURES, INC.",Legal Name,Stock Corporation,"4704 DELIVERANCE DRIVE, WILLIAMSBURG, VA, 23185 - 0000, USA",BRUCE   MACLEOD ,Inactive,
07463326,"Business Development Group, Inc.",Legal Name,Nonstock Corporation,"109 WILLIAM CLAIBORNE, WILLIAMSBURG, VA, 23185 - 0000, USA",MARK E   GOTTFRIED ,Inactive,
T0276693,"Business Management and Consultant Group, LLC",Legal Name,Limited Liability Company,"1 LOUDON HEIGHTS SOUTH, LOUDONVILLE, NY, 12211 - 0000, USA",LEONARD   BERL ,Active,
S3017268,"Business Management Solutions & Resources, LLC",Legal Name,Limited Liability Company,"5315 HILLSIDE WAY, WILLIAMSBURG, VA, 23185 - 0000, USA",EDWARD R  FONSECA JR ,Inactive,
S7619739,"Business Optimization Services and Solutions, LLC",Legal Name,Limited Liability Company,"3016 Travis Pond Rd., Williamsburg, VA, 23185 - 0000, USA",CYNTHIA LYNNE   ROBERTSON ,Inactive,
S5641859,business professionals llc,Legal Name,Limited Liability Company,"3345 Timber Ridge, Williamsburg, VA, 23185 - 0000, USA",KEVAN J   DANKER ,Active,
11450243,Business Value Booster LLC,Legal Name,Limited Liability Company,"134 the Grn, Williamsburg, VA, 23185, USA",Douglas  Brown ,Active,
S7278734,BUSKEY'S CAFE 2 LLC,Legal Name,Limited Liability Company,"5242 Olde Town Rd., Williamsburg, VA, 23185 - 0000, USA",GEORGE   BUSKEY ,Inactive,
11336954,Buskey's Enterprise LLC,Legal Name,Limited Liability Company,"129 Church St, Williamsburg, VA, 23185 - 6001, USA",George Bertrum Buskey Jr.,Inactive,
11435823,Busy Kidz LLC,Legal Name,Limited Liability Company,"16 Port Lndg Apt C, Newport News, VA, 23601 - 1591, USA",Selina  Ashby ,Inactive,
11243039,Butcher Bros Limited,Legal Name,Stock Corporation,"118 Second St, Williamsburg, VA, 23185 - 4524, USA",Jason Cabot Wade ,Inactive,
11083091,Buttercream Please LLC,Legal Name,Limited Liability Company,"3220 Reades Way, Williamsburg, VA, 23185, USA",Daremoni Aurayel Jones ,Active,
S5643558,Buttercup Home Care LLC,Legal Name,Limited Liability Company,"1002 Conway Dr. #204, Williamsburg, VA, 23185 - 0000, USA",GLORIA   BROWN ,Inactive,
11173410,"Butterfly Dynamics, LLC",Legal Name,Limited Liability Company,"3017 Spotswood Cay, Williamsburg, VA, 23185, USA",Jeremy C. Johnson ,Active,
06752059,BuZZProps Inc.,Legal Name,Stock Corporation,"1101 PROFESSIONAL DR, STE E, WILLIAMSBURG, VA, 23185 - 0000, USA",WESLEY   HOGGARD ,Inactive,
07875651,BVL EXPRESS INC.,Legal Name,Nonstock Corporation,"PO BOX 2545, Williamsburg, VA, 23187 - 0000, USA",IACOB   BIVOL ,Inactive,
11510576,"By Design Group, LLC",Legal Name,Limited Liability Company,"3917 Shenandoah Ct, Williamsburg, VA, 23188 - 7371, USA",Bray Knicely Law PLLC,Active,
05868765,"By-Pass Investments, Inc.",Legal Name,Stock Corporation,"706 BYPASS ROAD, WILLIAMSBURG, VA, 23185 - 0000, USA",A M   FRANCK ,Active,
11485572,Byers Law,Legal Name,Nonstock Corporation,"1769 Jamestown Rd Ste 120, Williamsburg, VA, 23185 - 2386, USA",Duncan  Byers ,Active,
S0499006,"Bynum Consulting, LC",Legal Name,Limited Liability Company,"130 WEST KINGSWOOD DR, WILLIAMSBURG, VA, 23185 - 0000, USA",WILLIAM LEE   BYNUM ,Inactive,
S3898543,"BYPASS HOSPITALITY, LLC",Legal Name,Limited Liability Company,"12414 HOGAN'S PL, CHESTER, VA, 23836 - 0000, USA",ANTHONY   BALTHROP ,Inactive,
S1279332,"Bypass Joint Venture, LLC",Legal Name,Limited Liability Company,"240 W TAZEWELL'S WAY, WILLIAMSBURG, VA, 23185 - 0000, USA",RALPH M.   GOLDSTEIN ,Active,
S8054274,Byrd's Lawncare and Maintenance LLC,Legal Name,Limited Liability Company,"100 Albemale Drive, #12, Williamsburg, VA, 23185 - 0000, USA",ERNEST WENDELL   BYRD ,Active,
S4935096,"Byrne's Rentals, LLC",Legal Name,Limited Liability Company,"7 Fox Gate Way, Hampton, VA, 23664 - 0000, USA",SPENCER M.   BAXTER ,Active,
04498549,BYRON & ASSOCIATES INCORPORATED,Legal Name,Stock Corporation,"112 JOHN BROWNING, WILLIAMSBURG, VA, 23185 - 0000, USA",BIHSHEUE W   BYRON ,Inactive,
11173215,"Byte Fish, LLC",Legal Name,Limited Liability Company,"158 Warehams Pt, Williamsburg, VA, 23185, USA",Jess  Brown ,Inactive,
S2660142,"Byte Size Learning, LLC",Legal Name,Limited Liability Company,"912 TYLER DR, WILLIAMSBURG, VA, 23185 - 0000, USA",BARBARA L   ELLIOTT ,Inactive,
05344247,"C & S RESTAURANT GROUP, INC.",Legal Name,Stock Corporation,"9893 GEORGETOWN PIKE #900, GREAT FALLS, VA, 22066 - 0000, USA",MATTHEW WESTCOTT   SMITH ,Inactive,
S1006735,"C & W Real Estate, L.L.C.",Legal Name,Limited Liability Company,"4 HIAWATHA COURT, WILLIAMSBURG, VA, 23185 - 0000, USA",ANDREW M   FRANCK ,Active,
S6120770,C C CASEY SONS LLC,Legal Name,Limited Liability Company,"Town Management, 4801 Courthouse Street, Ste 128, Williamsburg, VA, 23188 - 0000, USA",JAMES E.   VAIDEN ,Inactive,
08253403,C F Crone Construction Company,Legal Name,Stock Corporation,"8428 Croaker Rd, Williamsburg, VA, 23188 - 6707, USA",ANDREW M   FRANCK ,Pending Inactive,
11645719,C Lyon Consulting LLC,Legal Name,Limited Liability Company,"2413 SARAH SPENCE, WILLIAMSBURG, VA, 23185, USA",CHARLES W LYON ,Active,
